API reference URL,JS method docs,Python method docs
https://docs.apify.com/api/v2#/reference/actors/build-collection/get-list-of-builds,https://docs.apify.com/api/client/js/reference/class/BuildCollectionClient#list,https://docs.apify.com/api/client/python/reference/class/BuildCollectionClient#list
https://docs.apify.com/api/v2#/reference/datasets/dataset/delete-dataset,https://docs.apify.com/api/client/js/reference/class/DatasetClient#delete,#N/A
https://docs.apify.com/api/v2#/reference/datasets/item-collection/get-items,https://docs.apify.com/api/client/js/reference/class/DatasetClient#downloadItems,https://docs.apify.com/api/client/python/reference/class/DatasetClient#list_items
https://docs.apify.com/api/v2#/reference/datasets/dataset/get-dataset,https://docs.apify.com/api/client/js/reference/class/DatasetClient#get,https://docs.apify.com/api/client/python/reference/class/DatasetClient#get
https://docs.apify.com/api/v2#/reference/datasets/item-collection/get-items,https://docs.apify.com/api/client/js/reference/class/DatasetClient#downloadItems,https://docs.apify.com/api/client/python/reference/class/DatasetClient#list_items
https://docs.apify.com/api/v2#/reference/datasets/item-collection/put-items,https://docs.apify.com/api/client/js/reference/class/DatasetClient#pushItems,https://docs.apify.com/api/client/python/reference/class/DatasetClient#push_items
https://docs.apify.com/api/v2#/reference/datasets/dataset/update-dataset,https://docs.apify.com/api/client/js/reference/class/DatasetClient#update,https://docs.apify.com/api/client/python/reference/class/DatasetClient#update
https://docs.apify.com/api/v2#/reference/datasets/dataset-collection/create-dataset,https://docs.apify.com/api/client/js/reference/class/DatasetCollectionClient#getOrCreate,https://docs.apify.com/api/client/python/reference/class/DatasetCollectionClient#get_or_create
https://docs.apify.com/api/v2#/reference/datasets/dataset-collection/get-list-of-datasets,https://docs.apify.com/api/client/js/reference/class/DatasetCollectionClient#list,https://docs.apify.com/api/client/python/reference/class/DatasetCollectionClient#list
https://docs.apify.com/api/v2#/reference/key-value-stores/store-object/delete-store,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreClient#delete,#N/A
https://docs.apify.com/api/v2#/reference/key-value-stores/record/delete-record,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreClient#deleteRecord,https://docs.apify.com/api/client/python/reference/class/KeyValueStoreClient#delete_record
https://docs.apify.com/api/v2#/reference/key-value-stores/store-object/get-store,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreClient#get,https://docs.apify.com/api/client/python/reference/class/KeyValueStoreClient#get
https://docs.apify.com/api/v2#/reference/key-value-stores/record/get-record,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreClient#getRecord,https://docs.apify.com/api/client/python/reference/class/KeyValueStoreClient#get_record
https://docs.apify.com/api/v2#/reference/key-value-stores/key-collection/get-list-of-keys,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreClient#listKeys,https://docs.apify.com/api/client/python/reference/class/KeyValueStoreClient#list_keys
https://docs.apify.com/api/v2#/reference/key-value-stores/record/get-record,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreClient#getRecord,https://docs.apify.com/api/client/python/reference/class/KeyValueStoreClient#get_record
https://docs.apify.com/api/v2#/reference/key-value-stores/record/put-record,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreClient#setRecord,https://docs.apify.com/api/client/python/reference/class/KeyValueStoreClient#set_record
https://docs.apify.com/api/v2#/reference/key-value-stores/store-object/update-store,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreClient#update,https://docs.apify.com/api/client/python/reference/class/KeyValueStoreClient#update
https://docs.apify.com/api/v2#/reference/key-value-stores/store-collection/create-key-value-store,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreCollectionClient#getOrCreate,https://docs.apify.com/api/client/python/reference/class/KeyValueStoreCollectionClient#get_or_create
https://docs.apify.com/api/v2#/reference/key-value-stores/store-collection/get-list-of-key-value-stores,https://docs.apify.com/api/client/js/reference/class/KeyValueStoreCollectionClient#list,https://docs.apify.com/api/client/python/reference/class/KeyValueStoreCollectionClient#list
https://docs.apify.com/api/v2#/reference/logs/log/get-log,https://docs.apify.com/api/client/js/reference/class/LogClient#get,https://docs.apify.com/api/client/python/reference/class/LogClient#get
https://docs.apify.com/api/v2#/reference/logs/log/get-log,https://docs.apify.com/api/client/js/reference/class/LogClient#get,https://docs.apify.com/api/client/python/reference/class/LogClient#get
https://docs.apify.com/api/v2#/reference/request-queues/request-collection/add-request,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#addRequest,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#add_request
